2018-10-10 15:27:24 | Saving GPS ...
2018-10-10 15:28:20 | Saving GPS ...
2018-10-10 15:29:16 | Saving GPS ...
2018-10-10 15:30:12 | Saving GPS ...
2018-10-10 15:31:08 | Saving GPS ...
2018-10-10 15:32:04 | Saving GPS ...
2018-10-10 15:33:00 | Saving GPS ...
2018-10-10 15:33:56 | Saving GPS ...
2018-10-10 15:34:52 | Saving GPS ...
2018-10-10 15:35:49 | Saving GPS ...
2018-10-10 15:36:45 | Saving GPS ...
2018-10-10 15:37:41 | Saving GPS ...
2018-10-10 15:38:37 | Saving GPS ...
2018-10-10 15:39:33 | Saving GPS ...
2018-10-10 15:40:29 | Saving GPS ...
2018-10-10 15:41:25 | Saving GPS ...
2018-10-10 15:42:21 | Saving GPS ...
2018-10-10 15:43:17 | Saving GPS ...
2018-10-10 15:44:13 | Saving GPS ...
2018-10-10 15:45:09 | Saving GPS ...
2018-10-10 15:46:05 | Saving GPS ...
2018-10-10 15:46:29 | section finished
2018-10-10 15:46:30 | moving file: /home/pi/Video/2018-10-10_15_26_28.h264 to usb ...
2018-10-10 15:47:32 | move finished in: 0min 57sec
2018-10-10 15:47:32 |  ------ 
2018-10-10 15:47:32 | CPU temp=57.5'C
2018-10-10 15:47:32 | CPU  load average: 2.05, 0.71, 0.4
2018-10-10 15:47:33 | CPU throttled=0x
2018-10-10 15:47:33 | free RAM 424MB
2018-10-10 15:47:33 | CPU frequency(45)=60000000
2018-10-10 15:47:33 |  ------ 
2018-10-10 15:47:34 | recording time left: 48 min
2018-10-10 15:47:34 | ***********************
2018-10-10 15:47:34 | section started, camera pid: 5540
2018-10-10 15:47:34 | Saving GPS ...
2018-10-10 15:48:30 | Saving GPS ...
2018-10-10 15:49:26 | Saving GPS ...
2018-10-10 15:50:22 | Saving GPS ...
2018-10-10 15:51:18 | Saving GPS ...
2018-10-10 15:52:14 | Saving GPS ...
2018-10-10 15:53:10 | Saving GPS ...
2018-10-10 15:54:06 | Saving GPS ...
2018-10-10 15:55:02 | Saving GPS ...
2018-10-10 15:55:58 | Saving GPS ...
2018-10-10 15:56:54 | Saving GPS ...
2018-10-10 15:57:50 | Saving GPS ...
2018-10-10 15:58:46 | Saving GPS ...
2018-10-10 15:59:42 | Saving GPS ...
2018-10-10 16:00:38 | Saving GPS ...
2018-10-10 16:01:34 | Saving GPS ...
2018-10-10 16:02:30 | Saving GPS ...
2018-10-10 16:03:26 | Saving GPS ...
2018-10-10 16:04:22 | Saving GPS ...
2018-10-10 16:05:18 | Saving GPS ...
2018-10-10 16:06:14 | Saving GPS ...
2018-10-10 16:07:11 | Saving GPS ...
2018-10-10 16:07:35 | section finished
2018-10-10 16:07:36 | moving file: /home/pi/Video/2018-10-10_15_47_34.h264 to usb ...
2018-10-10 16:09:12 | move finished in: 1min 29sec
2018-10-10 16:09:12 |  ------ 
2018-10-10 16:09:12 | CPU temp=57.5'C
2018-10-10 16:09:12 | CPU  load average: 2.84, 1.12, 0.5
2018-10-10 16:09:12 | CPU throttled=0x
2018-10-10 16:09:12 | free RAM 424MB
2018-10-10 16:09:12 | CPU frequency(45)=60000000
2018-10-10 16:09:12 |  ------ 
2018-10-10 16:09:13 | recording time left: 28 min
2018-10-10 16:09:13 | ***********************
2018-10-10 16:09:13 | section started, camera pid: 6617
2018-10-10 16:09:13 | Saving GPS ...
2018-10-10 16:10:09 | Saving GPS ...
2018-10-10 16:11:05 | Saving GPS ...
2018-10-10 16:12:01 | Saving GPS ...
2018-10-10 16:12:57 | Saving GPS ...
2018-10-10 16:13:54 | Saving GPS ...
2018-10-10 16:14:50 | Saving GPS ...
2018-10-10 16:15:46 | Saving GPS ...
2018-10-10 16:16:42 | Saving GPS ...
2018-10-10 16:17:38 | Saving GPS ...
2018-10-10 16:18:34 | Saving GPS ...
2018-10-10 16:19:30 | Saving GPS ...
2018-10-10 16:20:26 | Saving GPS ...
2018-10-10 16:21:22 | Saving GPS ...
2018-10-10 16:22:18 | Saving GPS ...
2018-10-10 16:23:14 | Saving GPS ...
2018-10-10 16:24:10 | Saving GPS ...
2018-10-10 16:25:06 | Saving GPS ...
2018-10-10 16:26:02 | Saving GPS ...
2018-10-10 16:26:58 | Saving GPS ...
2018-10-10 16:27:54 | Saving GPS ...
2018-10-10 16:28:50 | Saving GPS ...
2018-10-10 16:29:14 | section finished
2018-10-10 16:29:15 | moving file: /home/pi/Video/2018-10-10_16_09_13.h264 to usb ...
2018-10-10 16:30:51 | move finished in: 1min 28sec
2018-10-10 16:30:51 |  ------ 
2018-10-10 16:30:51 | CPU temp=56.9'C
2018-10-10 16:30:51 | CPU  load average: 2.89, 1.29, 0.7
2018-10-10 16:30:51 | CPU throttled=0x
2018-10-10 16:30:51 | free RAM 423MB
2018-10-10 16:30:51 | CPU frequency(45)=60000000
2018-10-10 16:30:51 |  ------ 
2018-10-10 16:30:52 | recording time left: 8 min
2018-10-10 16:30:52 | ***********************
2018-10-10 16:30:52 | section started, camera pid: 7628
2018-10-10 16:30:52 | Saving GPS ...
2018-10-10 16:31:48 | Saving GPS ...
2018-10-10 16:32:18 | killing camera process: 7628
2018-10-10 16:32:23 | moving file: /home/pi/Video/2018-10-10_16_30_52.h264 to usb ...
2018-10-10 16:32:30 | move finished in: 0min 4sec
2018-10-10 16:32:30 | code TERMINATED using switch
2018-10-10 16:32:38 | FINISH

